Feature,Importance
amont_day_from,0.40486249826835763
trans_3_month,0.36948435243666083
Age,0.0912010282523972
Income,0.042956747796207596
Gender_U,0.02662892656822586
trans_6_month,0.020946733536023714
Gender_M,0.014775246570400568
Lifetime,0.010655736897273107
Income_per_Age,0.009168045543327109
District,0.0024088173430109965
Age_group_nan,0.0016958089710114276
Age_missing,0.0012495048440000112
Age_Income,0.0009001428351158132
Segment_Tin,0.0006784924045224427
Segment_Silver,0.0003360985999536095
